id,text,text_vocalized,text_phonemized
gold_013_line_002,והסיפור על איך ערמקו הגיעה לבורסה ולמה הסעודים החליטו למכור בכלל כמה אחוזים מהבוננזה הכלכלית שלהם הוא סיפור מרתק,וְֽהַ|סִּיפּוּר עַל אֵיךְ עַרְמָקוֹ הִגִּ֫יעָה לַ|בּ֫וּרְסָה וְֽ|לָ֫מָּה הַ|סָּעוּדִים הֶחֱלִ֫יטוּ לִמְכֹּור בִּכְלָל כַּ֫מָּה אֲחוּזִים מֵהַ|בּוּנֶנְזָה הַ|כַּלְכָּלִית שֶׁ|לָּהֶם הוּא סִיפּוּר מְֽרַתֵּ֫ק,vehasipˈuʁ ʔˈal ʔˈejχ ʔaʁmakˈo hiɡˈiʔa labˈuʁsa velˈama hasaʔudˈim heχelˈitu limkˈoʁ biχlˈal kˈama ʔaχuzˈim mehabunenzˈa hakalkalˈit ʃelahˈem hˈu sipˈuʁ meʁatˈek
gold_016_line_021,איך אנחנו יכולים להאמין למילה ממה שאתה אומר,אֵיךְ אֲנַ֫חְנוּ יְֽכוֹלִים לְֽהַאֲמִין לַ|מִּילָּה מִ|מָּה שֶׁ|אַתָּה אוֹמֵר,ʔˈejχ ʔanˈaχnu jeχolˈim lehaʔamˈin lamilˈa mimˈa ʃeʔatˈa ʔomˈeʁ
gold_012_line_060,אתר הטבילה הפך להיות בבת אחת חלק משטח צבאי סגור,אֲתַר הַ|טְּבִילָה הָפַךְ לִהְיוֹת בְּֽ|בַת אַחַת חֵ֫לֶק מִ|שֶּׁ֫טַח צְבָאִי סָגוּר,ʔatˈaʁ hatvilˈa hafˈaχ lihjˈot bevˈat ʔaχˈat χˈelek miʃˈetaχ tsvaʔˈi saɡˈuʁ
gold_005_line_035,יש לא מעט מחקרים ועדויות של בעלי חנויות שמראים שיש סיכוי לא רע שתשימו בעגלה את הדבר הראשון שראיתם גם אם אפילו לא תכננתם לקנות אותו,יֵשׁ לֹא מְֽעַט מֶחְקָרִים וְֽ|עֵדוּיוֹת שֶׁל בַּעֲלֵי חֲנוּיוֹת שֶׁ|מַּרְאִים שֶׁ|יֵּשׁ סִיכּוּי לֹא רַע שֶׁ|תָּשִׂימוּ בָּ|עֲגָלָה אֶת הַ|דָּבָר הָ|רִאשׁוֹן שֶׁ|רְֽאִ֫יתֶם גַּם אִם אֲפִ֫ילּוּ לֹא תִּכְנַ֫נְתֶּם לִקְנוֹת אוֹתוּ,jˈeʃ lˈo meʔˈat meχkaʁˈim veʔedujˈot ʃˈel baʔalˈej χanujˈot ʃemaʁʔˈim ʃejˈeʃ sikˈuj lˈo ʁˈa ʃetasimˈu baʔaɡalˈa ʔˈet hadavˈaʁ haʁiʃˈon ʃeʁeʔˈitem ɡˈam ʔˈim ʔafˈilu lˈo tiχnˈantem liknˈot ʔotˈu
gold_007_line_108,ואז שרת התחבורה רגב החליטה שהיא עוצרת את התקציבים,וְֽ|אָז שָׂרַת הַ|תַּחְבּוּרָה רֶגֶב הֶחְלִ֫יטָה שֶׁ|הִיא עוֹצֶ֫רֶת אֶת הַ|תַּקְצִיבִים,veʔˈaz saʁˈat hataχbuʁˈa ʁeɡˈev heχlˈita ʃehˈi ʔotsˈeʁet ʔˈet hataktsivˈim
gold_016_line_076,זה פשוט משחית את התקשורת כי התמונה שהקוראות קוראים צופות צופים מקבלים,זֶה פָּשׁוּט מַשְׁחִית אֶת הַ|תִּקְשֹׁ֫ורֶת כִּי הַ|תְּמוּנָה שֶׁהַ|קּוֹרְאוֹת קוֹרְאִים צוֹפוֹת צוֹפִים מְֽקַבְּלִים,zˈe paʃˈut maʃχˈit ʔˈet hatikʃˈoʁet kˈi hatmunˈa ʃehakoʁʔˈot koʁʔˈim tsofˈot tsofˈim mekablˈim
gold_002_line_279,כלומר שאו שאנחנו הולכים לאינפלציה שהיא בסדר מבחינת היעד של בנק ישראל,כְּלוֹמַר שָׁאוֹ שֶׁ|אֲנַ֫חְנוּ הוֹלְכִים לְֽ|אִינְפְלַ֫צְיָה שֶׁ|הִיא בְּֽסֵ֫דֶר מִ|בְּחִינַת הַ|יַּ֫עַד שֶׁל בַּנְק יִשְׂרָאֵל,klomˈaʁ ʃaʔˈo ʃeʔanˈaχnu holχˈim leʔinflˈatsja ʃehˈi besˈedeʁ mibχinˈat hajˈaʔad ʃˈel bˈank jisʁaʔˈel
gold_007_line_155,האם אני מטיף לכל מי שאני רק יכול בעבודה שינסו את התחבורה הציבורית,הַאִם אֲנִי מַטִּיף לְֽ|כׇל מִי שֶׁ|אֲנִי רַק יָכוֹל בָּ|עֲבוֹדָה שֶׁ|יְּנַסּוּ אֶת הַ|תַּחְבּוּרָה הַ|צִּיבּוּרִית,haʔˈim ʔanˈi matˈif leχˈol mˈi ʃeʔanˈi ʁˈak jaχˈol baʔavodˈa ʃejnasˈu ʔˈet hataχbuʁˈa hatsibuʁˈit
gold_000_line_035,אבל חלק מזה זה גם מעבר לזה זאת אומרת הם יודעים שאם המתחרה שלהם,אֲבָל חֵ֫לֶק מִ|זֶּה זֶה גַּם מֵעֵ֫בֶר לָ|זֶה זֹאת אוֹמֶ֫רֶת הֵם יוֹדְעִים שֶׁ|אִם הַ|מִּתְחָרֶה שֶׁ|לָּהֶם,ʔavˈal χˈelek mizˈe zˈe ɡˈam meʔˈeveʁ lazˈe zˈot ʔomˈeʁet hˈem jodʔˈim ʃeʔˈim hamitχaʁˈe ʃelahˈem
gold_002_line_364,הוא כתב שם שאינפלציה שנובעת מתחממות יתר של הכלכלה היא אומנם בעיה שמתגמדת אל מול מגפה עולמית,הוּא כָּתַב שָׁם שֶׁ|אִינְפְלַ֫צְיָה שֶׁ|נּוֹבַ֫עַת מִתְחַמְּמוּת יֶ֫תֶר שֶׁל הַ|כַּלְכָּלָה הִיא אׇומְנָם בְּֽעָיָה שֶׁ|מִּתְגַּמֶּ֫דֶת אֶל מוּל מַגֵּפָה עוֹלָמִית,hˈu katˈav ʃˈam ʃeʔinflˈatsja ʃenovˈaʔat mitχammˈut jˈeteʁ ʃˈel hakalkalˈa hˈi ʔomnˈam beʔajˈa ʃemitɡamˈedet ʔˈel mˈul maɡefˈa ʔolamˈit
gold_015_line_071,כי הם מבינים שיש איזושהי רוח מפקד ושאם הם יכתבו אחרת הידיעה פשוט לא תעבור,כִּי הֵם מְֽבִינִים שֶׁ|יֵּשׁ אֵיזוֹשֶׁהִי ר֫וּחַ מְֽפַקֵּד וְֽשֶׁ|אִם הֵם יִכְתְּבוּ אַחֶרֶת הַ|יְּדִיעָה פָּשׁוּט לֹא תַּעֲבֹור,kˈi hˈem mevinˈim ʃejˈeʃ ʔejzoʃehˈi ʁˈuaχ mefakˈed veʃeʔˈim hˈem jiχtvˈu ʔaχeʁˈet hajdiʔˈa paʃˈut lˈo taʔavˈoʁ
gold_002_line_075,והשאלה הזו מטרידה לא רק אותו אלא את הנגידים של בנקים מרכזיים ברחבי העולם כולו והיא צריכה להטריד מאוד גם אותנו,וְֽהַ|שְּֽׁאֵלָה הַ|זּוֹ מַטְרִידָה לֹא רַק אוֹתוֹ אֶ֫לָּא אֶת הַ|נְּגִידִים שֶׁל בַּ֫נְקִים מֶרְכָּזִיִּים בְּֽ|רַחֲבֵי הָ|עוֹלָם כֻּולּוֹ וְֽ|הִיא צְרִיכָה לְֽהַטְרִיד מְֽאוֹד גַּם אוֹתָ֫נוּ,vehaʃeʔelˈa hazˈo matʁidˈa lˈo ʁˈak ʔotˈo ʔˈela ʔˈet hanɡidˈim ʃˈel bˈankim meʁkazijˈim beʁaχavˈej haʔolˈam kulˈo vehˈi tsʁiχˈa lehatʁˈid meʔˈod ɡˈam ʔotˈanu
gold_004_line_002,כי בכל זאת אנחנו פודקאסט ישראלי שקורה בישראל,כִּי בְּֽ|כׇל זֹאת אֲנַ֫חְנוּ פּוֹדְקַאסְט יִשְׂרְֽאֵלִי שֶׁ|קּוֹרֶה בְּֽ|יִשְׂרָאֵל,kˈi beχˈol zˈot ʔanˈaχnu podkˈast jisʁeʔelˈi ʃekoʁˈe bejisʁaʔˈel
gold_005_line_193,זו בדיוק העבודה של דריה מינובי ממרכז המידע לבריאות הציבור,זוֹ בְּֽדִיּוּק הָ|עֲבוֹדָה שֶׁל דֵּרִיָּה מִינ֫וֹבִי מִ|מֶּרְכַּז הַ|מֵּידָע לִ|בְרִיאוּת הַ|צִּיבּוּר,zˈo bedijˈuk haʔavodˈa ʃˈel deʁijˈa minˈovi mimeʁkˈaz hamedˈa livʁiʔˈut hatsibˈuʁ
gold_009_line_091,ושלכן הוא יגדיל את המוביליות החברתית של אותו נוער וגם את ההכנסה העתידית שלו כלומר שחינוך מקצועי מסייע לצימצום פערים,וְֽשֶׁ|לָּכֵן הוּא יַגְדִּיל אֶת הַ|מּוֹבִילִיּוּת הַ|חֶבְרָתִית שֶׁל אוֹתוֹ נֹ֫ועַר וְֽ|גַם אֶת הַ|הַכְנָסָה הָ|עֲתִידִית שֶׁ|לּוֹ כְּלוֹמַר שֶׁ|חִינּוּךְ מִקְצוֹעִי מְֽסַיֵּ֫יעַ לְֽ|צִימְצוּם פְּֽעָרִים,veʃelaχˈen hˈu jaɡdˈil ʔˈet hamovilijˈut haχevʁatˈit ʃˈel ʔotˈo nˈoʔaʁ veɡˈam ʔˈet hahaχnasˈa haʔatidˈit ʃelˈo klomˈaʁ ʃeχinˈuχ miktsoʔˈi mesajˈea letsimtsˈum peʔaʁˈim
gold_001_line_251,קצת לחץ בתיקשורת וחברות הביטוח הבינו שעדיף להן לא להיתעסק יותר מידי עם הדבר הזה,קְצָת לַ֫חַץ בַּ|תִּיקְשֹׁ֫ורֶת וְֽ|חֶבְרוֹת הַ|בִּיטּ֫וּחַ הֵבִ֫ינוּ שֶׁ|עָדִיף לָהֶן לֹא לְֽהִיתְעַסֵּק יוֹתֵר מִידַּי עִם הַ|דָּבָר הַ|זֶּה,ktsˈat lˈaχats batikʃˈoʁet veχevʁˈot habitˈuaχ hevˈinu ʃeʔadˈif lahˈen lˈo lehitʔasˈek jotˈeʁ midˈaj ʔˈim hadavˈaʁ hazˈe
gold_015_line_015,האם זה משהו פלילי המדינה טוענת שכן,הַאִם זֶה מַ֫שֶּׁהוּ פְּלִילִי הַ|מְּֽדִינָה טוֹעֶ֫נֶת שֶׁ|כֵּן,haʔˈim zˈe mˈaʃehu plilˈi hamedinˈa toʔˈenet ʃekˈen
gold_006_line_060,הבורסות בכל העולם התחילו ליקרוס באחוזים ניכרים,הַ|בּ֫וּרְסוֹת בְּֽ|כׇל הָ|עוֹלָם הִתְחִ֫ילוּ לִיקְרֹוס בַּ|אֲחוּזִים נִיכָּרִים,habˈuʁsot beχˈol haʔolˈam hitχˈilu likʁˈos baʔaχuzˈim nikaʁˈim
gold_010_line_063,זה הרבה יותר חשוב מאשר לשמור לבריאות אהמ זה הרבה יותר חשוב מאשר לשמור על הבריאות שלהם,זֶה הַרְבֵּה יוֹתֵר חָשׁוּב מֵאֲשֶׁר לִשְׁמֹור לִ|בְֽרִיאוּת אהמ זֶה הַרְבֵּה יוֹתֵר חָשׁוּב מֵאֲשֶׁר לִשְׁמֹור עַל הַ|בְּרִיאוּת שֶׁ|לָּהֶם,zˈe haʁbˈe jotˈeʁ χaʃˈuv meʔaʃˈeʁ liʃmˈoʁ liveʁiʔˈut ʔˈhm zˈe haʁbˈe jotˈeʁ χaʃˈuv meʔaʃˈeʁ liʃmˈoʁ ʔˈal habʁiʔˈut ʃelahˈem
gold_007_line_145,במהלך השבוע עצמו אני רוכב לעבודה באופניים הלוך חזור בסך הכול עשר דקות לכל כיוון,בְּֽ|מַהֲלַךְ הַ|שָּׁב֫וּעַ עַצְמוֹ אֲנִי רוֹכֵב לַ|עֲבוֹדָה בְּֽ|אוֹפַנַּיִים הֲלוֹךְ חָזור בְּֽ|סַךְ הַ|כֹּול עֶ֫שֶׂר דַּקּוֹת לְֽ|כׇל כִּיוּוּן,bemahalˈaχ haʃavˈua ʔatsmˈo ʔanˈi ʁoχˈev laʔavodˈa beʔofanajˈim halˈoχ χˈazʁ besˈaχ hakˈol ʔˈeseʁ dakˈot leχˈol kijvˈun
gold_001_line_186,הררים הררים של חולצות ומכנסיים ובגדים אחרים,הֲרָרִים הֲרָרִים שֶׁל חֻולְצוֹת וּ|מִכְנָסַיִים וּ|בְגָדִים אֲחֵרִים,haʁaʁˈim haʁaʁˈim ʃˈel χultsˈot umiχnasajˈim uvɡadˈim ʔaχeʁˈim
gold_000_line_155,אה נמצאים בבעיה אחרת כי יש לנו לחצים של פוליטיקאים כי הפוליטיקאים ברצותם הם יכולים לסגור את תאגיד השידור הציבורי,אָה נִמְצָאִים בִּ|בְֽעָיָה אַחֶרֶת כִּי יֵשׁ לָנוּ לְֽחָצִים שֶׁל פּוֹלִיטִיקָ֫אִים כִּי הַ|פּוֹלִיטִיקָ֫אִים בִּ|רְצוּתָם הֵם יְֽכוֹלִים לִסְגֹּור אֶת תַּאֲגִיד הַ|שִּׁידּוּר הַ|צִּיבּוּרִי,ʔˈa nimtsaʔˈim biveʔajˈa ʔaχeʁˈet kˈi jˈeʃ lanˈu leχatsˈim ʃˈel politikˈaʔim kˈi hapolitikˈaʔim biʁtsutˈam hˈem jeχolˈim lisɡˈoʁ ʔˈet taʔaɡˈid haʃidˈuʁ hatsibuʁˈi
gold_001_line_182,ובעזרת מתנדבים התחילו לפזר את התרומות האלה בין המחסנים,וּ|בְֽעֶזְרַת מִתְנַדְּבִים הִתְחִ֫ילוּ לְֽפַזֵּר אֶת הַ|תְּרוּמוֹת הָ|אֵ֫לֶּה בֵּין הַ|מַּחְסָנִים,uveʔezʁˈat mitnadvˈim hitχˈilu lefazˈeʁ ʔˈet hatʁumˈot haʔˈele bˈen hamaχsanˈim
gold_007_line_152,לעתים רחוקות אני מישתמש באוטו ובכל פעם שאני עושה את זה אני מיתחרט ומקלל,לְֽ|עִתִּים רְֽחוֹקוֹת אֲנִי מִישְׁתַּמֵּשׁ בָּ|א֫וֹטוֹ וּבְ|כׇל פַּ֫עַם שֶׁ|אֲנִי עוֹשֶׂה אֶת זֶה אֲנִי מִיתְחָרֵט וּ|מְקַלֵּל,leʔitˈim ʁeχokˈot ʔanˈi miʃtamˈeʃ baʔˈoto uvχˈol pˈaʔam ʃeʔanˈi ʔosˈe ʔˈet zˈe ʔanˈi mitχaʁˈet umkalˈel
gold_001_line_069,לפני שנתחיל ביקשתי ממנו שיציג את עצמו,לִפְנֵי שֶׁ|נַּתְחִיל בִּיקַּ֫שְׁתִּי מִמֶּ֫נּוּ שֶׁ|יַּצִּיג אֶת עַצְמוֹ,lifnˈej ʃenatχˈil bikˈaʃti mimˈenu ʃejatsˈiɡ ʔˈet ʔatsmˈo
gold_007_line_013,אז השנה נוספו לכבישים עוד רבע מיליון כאלה שזה קצב שיא,אָז הַשָּׁנָה נוֹסְפוּ לַ|כְּבִישִׁים עוֹד רֶ֫בַע מִילְיוֹן כָּ|אֵ֫לֶּה שֶׁ|זֶּה קֶ֫צֶב שִׂיא,ʔˈaz haʃanˈa nosfˈu lakviʃˈim ʔˈod ʁˈeva miljˈon kaʔˈele ʃezˈe kˈetsev sˈi
gold_021_line_003,כשנשארים לי מטבעות אחרי שהסתבבתי בשוק ביום שישי אני ישר נותן אותן לילדים שישימו בקופת החיסכון שלהם,כְּשֶׁ|נִּשְׁאָרִים לִי מַטְבְּעוֹת אַחֲרֵי שֶׁ|הִסְתַּבַּ֫בְתִּי בַּ|שּׁוּק בְּֽ|יוֹם שִׁישִּׁי אֲנִי יָשָׁר נוֹתֵן אוֹתָן לִ|יְּֽלָדִים שֶׁ|יָּשִׂימוּ בְּֽ|קֻופַּת הַ|חִיסָּכוֹן שֶׁ|לָּהֶם,kʃeniʃʔaʁˈim lˈi matbʔˈot ʔaχaʁˈej ʃehistabˈavti baʃˈuk bejˈom ʃiʃˈi ʔanˈi jaʃˈaʁ notˈen ʔotˈan lijeladˈim ʃejasimˈu bekupˈat haχisaχˈon ʃelahˈem
gold_005_line_072,גם הרגע שבו הסופרמרקט הגיע לישראל שיקף את המהפכה התרבותית שהמדינה הצעירה עמדה לעבור,גַּם הָ|רֶ֫גַע שֶׁ|בּוֹ הַ|סּוּפֶּרְמַרְקֶט הִגִּ֫יעַ לְֽ|יִשְׂרָאֵל שִׁיקֵּף אֶת הַ|מַּהְפֵּכָה הַ|תַּרְבּוּתִית שֶׁהַ|מְּֽדִינָה הַ|צְּֽעִירָה עָמְדָה לַעֲבֹור,ɡˈam haʁˈeɡa ʃebˈo hasupeʁmaʁkˈet hiɡˈia lejisʁaʔˈel ʃikˈef ʔˈet hamahpeχˈa hataʁbutˈit ʃehamedinˈa hatseʔiʁˈa ʔamdˈa laʔavˈoʁ
gold_000_line_145,המלאה לגבי מה שהולך בישראל ובעולם ואיך נראים החיים הסיכוי של זה הוא יותר גדול,הַ|מְּלֵאָה לְֽגַבֵּי מָה שֶׁ|הוֹלֵךְ בְּֽ|יִשְׂרָאֵל וּבָ|עוֹלָם וְֽ|אֵיךְ נִרְאִים הַ|חַיִּים הַ|סִּיכּוּי שֶׁל זֶה הוּא יוֹתֵר גָּדוֹל,hamleʔˈa leɡabˈej mˈa ʃeholˈeχ bejisʁaʔˈel uvaʔolˈam veʔˈejχ niʁʔˈim haχajˈim hasikˈuj ʃˈel zˈe hˈu jotˈeʁ ɡadˈol
gold_000_line_089,נכון הם לא מודעים לזה בכלל ואגב,נָכוֹן הֵם לֹא מוּדָעִים לָ|זֶה בִּכְלָל וְֽ|אַגַּב,naχˈon hˈem lˈo mudaʔˈim lazˈe biχlˈal veʔaɡˈav
